filename,old_label,new_label,category,reason
R_2676.jpg,0,2,packaged_food,Produk makanan kaleng menjadi objek utama.
R_2623.jpg,0,2,packaged_food,Isi makanan kaleng terlihat jelas dan dominan.
R_6995.jpg,0,2,packaged_food,Produk rempah jintan merupakan bahan pangan.
R_631.jpg,0,2,packaged_food,Buah segar di dalam kantong menjadi isi dominan.
R_7205.jpg,0,2,packaged_food,Produk biskuit ragi merupakan produk pangan.
R_7225.jpg,0,2,packaged_food,Produk makanan bebas gluten menjadi objek utama.
R_7156.jpg,0,2,packaged_food,Garam batu merupakan bahan pangan pada kemasan produk.
R_7141.jpg,0,2,packaged_food,Produk makanan ringan menjadi objek utama.
R_386.jpg,0,2,organic_material,Sisa jaringan hewan mendominasi gambar sebagai limbah organik.
R_4914.jpg,0,2,organic_material,Kompos atau mulsa organik tersebar pada lahan.
R_658.jpg,0,2,organic_material,Sisa tubuh dan bulu burung merupakan material organik.
